event_date,code,market,status_type,status_value,source,source_url,raw_path,confidence,notes
2026-03-23,066900,KOSDAQ,managed_issue,designated,kind,https://kind.krx.co.kr/investwarn/adminissue.do?method=searchAdminIssueList,_report/raw/2026/2026-07-09/kind/status-source-probe/managed_issue.xls,high,"snapshot=managed_issue; 종목명=디에이피; 지정사유=최근3사업연도중 2사업연도 자기자본 50%초과 법인세비용차감전계속사업손실 발생,자본잠식률 50% 이상; market_enrichment=market_data_join:KOSDAQ"
2026-03-23,294140,KOSDAQ,managed_issue,designated,kind,https://kind.krx.co.kr/investwarn/adminissue.do?method=searchAdminIssueList,_report/raw/2026/2026-07-09/kind/status-source-probe/managed_issue.xls,high,snapshot=managed_issue; 종목명=레몬; 지정사유=최근3사업연도중 2사업연도 자기자본 50%초과 법인세비용차감전계속사업손실 발생; market_enrichment=market_data_join:KOSDAQ
2026-03-24,008600,KOSPI,managed_issue,designated,kind,https://kind.krx.co.kr/investwarn/adminissue.do?method=searchAdminIssueList,_report/raw/2026/2026-07-09/kind/status-source-probe/managed_issue.xls,high,snapshot=managed_issue; 종목명=윌비스; 지정사유=상장폐지 사유의 발생; market_enrichment=market_data_join:KOSPI
2026-03-24,011810,KOSPI,managed_issue,designated,kind,https://kind.krx.co.kr/investwarn/adminissue.do?method=searchAdminIssueList,_report/raw/2026/2026-07-09/kind/status-source-probe/managed_issue.xls,high,"snapshot=managed_issue; 종목명=STX; 지정사유=회생절차개시신청,상장폐지 사유의 발생; market_enrichment=market_data_join:KOSPI"
2026-03-24,023440,KOSDAQ,managed_issue,designated,kind,https://kind.krx.co.kr/investwarn/adminissue.do?method=searchAdminIssueList,_report/raw/2026/2026-07-09/kind/status-source-probe/managed_issue.xls,high,snapshot=managed_issue; 종목명=제이스코홀딩스; 지정사유=상장폐지사유 발생; market_enrichment=market_data_join:KOSDAQ
2026-03-24,068240,KOSDAQ,managed_issue,designated,kind,https://kind.krx.co.kr/investwarn/adminissue.do?method=searchAdminIssueList,_report/raw/2026/2026-07-09/kind/status-source-probe/managed_issue.xls,high,"snapshot=managed_issue; 종목명=다원시스; 지정사유=회생절차 개시신청,상장적격성 실질심사 대상 결정,상장폐지사유 발생; market_enrichment=market_data_join:KOSDAQ"
2026-03-24,069460,KOSPI,managed_issue,designated,kind,https://kind.krx.co.kr/investwarn/adminissue.do?method=searchAdminIssueList,_report/raw/2026/2026-07-09/kind/status-source-probe/managed_issue.xls,high,snapshot=managed_issue; 종목명=대호에이엘; 지정사유=상장폐지 사유의 발생; market_enrichment=market_data_join:KOSPI
2026-03-24,079950,KOSDAQ,managed_issue,designated,kind,https://kind.krx.co.kr/investwarn/adminissue.do?method=searchAdminIssueList,_report/raw/2026/2026-07-09/kind/status-source-probe/managed_issue.xls,high,snapshot=managed_issue; 종목명=인베니아; 지정사유=최근3사업연도중 2사업연도 자기자본 50%초과 법인세비용차감전계속사업손실 발생; market_enrichment=market_data_join:KOSDAQ
2026-03-24,088290,KOSDAQ,managed_issue,designated,kind,https://kind.krx.co.kr/investwarn/adminissue.do?method=searchAdminIssueList,_report/raw/2026/2026-07-09/kind/status-source-probe/managed_issue.xls,high,snapshot=managed_issue; 종목명=이원컴포텍; 지정사유=자본잠식률 50% 이상; market_enrichment=market_data_join:KOSDAQ
2026-03-24,145210,KOSPI,managed_issue,designated,kind,https://kind.krx.co.kr/investwarn/adminissue.do?method=searchAdminIssueList,_report/raw/2026/2026-07-09/kind/status-source-probe/managed_issue.xls,high,"snapshot=managed_issue; 종목명=다이나믹디자인; 지정사유=감사범위제한으로인한 감사의견한정,상장폐지 사유의 발생,시가총액 미달; market_enrichment=market_data_join:KOSPI"
