event_date,code,market,status_type,status_value,source,source_url,raw_path,confidence,notes
2026-07-08,331920,UNKNOWN,market_alert,caution,kind,https://kind.krx.co.kr/investwarn/investattentwarnrisky.do?method=investattentwarnriskyMain,_report/raw/2026/2026-07-08/kind/status-source-probe/market_alert_caution.xls,high,snapshot=market_alert_caution; 종목명=셀레믹스; 유형=소수지점/계좌; 공시일=2026-07-07
2026-07-08,340930,UNKNOWN,trading_halt,halted,kind,https://kind.krx.co.kr/investwarn/tradinghaltissue.do?method=searchTradingHaltIssueMain,_report/raw/2026/2026-07-08/kind/status-source-probe/trading_halt.xls,medium,snapshot=trading_halt; 종목명=성원에너텍; 사유=상장폐지 사유발생
2026-07-08,346010,UNKNOWN,trading_halt,halted,kind,https://kind.krx.co.kr/investwarn/tradinghaltissue.do?method=searchTradingHaltIssueMain,_report/raw/2026/2026-07-08/kind/status-source-probe/trading_halt.xls,medium,snapshot=trading_halt; 종목명=타이드; 사유=코넥스 주권 상장폐지 사유발생
2026-07-08,348080,UNKNOWN,trading_halt,halted,kind,https://kind.krx.co.kr/investwarn/tradinghaltissue.do?method=searchTradingHaltIssueMain,_report/raw/2026/2026-07-08/kind/status-source-probe/trading_halt.xls,medium,"snapshot=trading_halt; 종목명=큐라티스; 사유=주식의 병합, 분할 등 전자등록 변경, 말소"
2026-07-08,348950,UNKNOWN,trading_halt,halted,kind,https://kind.krx.co.kr/investwarn/tradinghaltissue.do?method=searchTradingHaltIssueMain,_report/raw/2026/2026-07-08/kind/status-source-probe/trading_halt.xls,medium,"snapshot=trading_halt; 종목명=제이알글로벌리츠; 사유=회생절차개시신청(발행ELW, 발행ETN 포함)"
2026-07-08,352770,UNKNOWN,trading_halt,halted,kind,https://kind.krx.co.kr/investwarn/tradinghaltissue.do?method=searchTradingHaltIssueMain,_report/raw/2026/2026-07-08/kind/status-source-probe/trading_halt.xls,medium,snapshot=trading_halt; 종목명=셀레스트라; 사유=투자자 보호
2026-07-08,354200,UNKNOWN,trading_halt,halted,kind,https://kind.krx.co.kr/investwarn/tradinghaltissue.do?method=searchTradingHaltIssueMain,_report/raw/2026/2026-07-08/kind/status-source-probe/trading_halt.xls,medium,"snapshot=trading_halt; 종목명=엔젠바이오; 사유=주식의 병합, 분할 등 전자등록 변경, 말소"
2026-07-08,368970,UNKNOWN,market_alert,caution,kind,https://kind.krx.co.kr/investwarn/investattentwarnrisky.do?method=investattentwarnriskyMain,_report/raw/2026/2026-07-08/kind/status-source-probe/market_alert_caution.xls,high,snapshot=market_alert_caution; 종목명=오에스피; 유형=소수지점/계좌; 공시일=2026-07-07
2026-07-08,372800,UNKNOWN,market_alert,warning,kind,https://kind.krx.co.kr/investwarn/investattentwarnrisky.do?method=investattentwarnriskyMain,_report/raw/2026/2026-07-08/kind/status-source-probe/market_alert_warning.xls,high,snapshot=market_alert_warning; 종목명=아이티아이즈; 공시일=2026-07-07
2026-07-08,377460,UNKNOWN,trading_halt,halted,kind,https://kind.krx.co.kr/investwarn/tradinghaltissue.do?method=searchTradingHaltIssueMain,_report/raw/2026/2026-07-08/kind/status-source-probe/trading_halt.xls,medium,snapshot=trading_halt; 종목명=큐에이드; 사유=상장적격성 실질심사 대상(사유발생)
2026-07-08,380540,UNKNOWN,trading_halt,halted,kind,https://kind.krx.co.kr/investwarn/tradinghaltissue.do?method=searchTradingHaltIssueMain,_report/raw/2026/2026-07-08/kind/status-source-probe/trading_halt.xls,medium,snapshot=trading_halt; 종목명=옵티코어; 사유=상장폐지 사유발생
2026-07-08,393970,UNKNOWN,trading_halt,halted,kind,https://kind.krx.co.kr/investwarn/tradinghaltissue.do?method=searchTradingHaltIssueMain,_report/raw/2026/2026-07-08/kind/status-source-probe/trading_halt.xls,medium,snapshot=trading_halt; 종목명=대진첨단소재; 사유=상장폐지 사유발생
2026-07-08,412540,UNKNOWN,trading_halt,halted,kind,https://kind.krx.co.kr/investwarn/tradinghaltissue.do?method=searchTradingHaltIssueMain,_report/raw/2026/2026-07-08/kind/status-source-probe/trading_halt.xls,medium,snapshot=trading_halt; 종목명=제일엠앤에스; 사유=상장폐지 사유발생
2026-07-08,418250,UNKNOWN,trading_halt,halted,kind,https://kind.krx.co.kr/investwarn/tradinghaltissue.do?method=searchTradingHaltIssueMain,_report/raw/2026/2026-07-08/kind/status-source-probe/trading_halt.xls,medium,snapshot=trading_halt; 종목명=시큐레터; 사유=상장적격성 실질심사 대상(사유발생)
2026-07-08,419080,UNKNOWN,market_alert,caution,kind,https://kind.krx.co.kr/investwarn/investattentwarnrisky.do?method=investattentwarnriskyMain,_report/raw/2026/2026-07-08/kind/status-source-probe/market_alert_caution.xls,high,snapshot=market_alert_caution; 종목명=엔젯; 유형=소수지점/계좌; 공시일=2026-07-07
2026-07-08,446840,UNKNOWN,trading_halt,halted,kind,https://kind.krx.co.kr/investwarn/tradinghaltissue.do?method=searchTradingHaltIssueMain,_report/raw/2026/2026-07-08/kind/status-source-probe/trading_halt.xls,medium,"snapshot=trading_halt; 종목명=지슨; 사유=주식의 병합, 분할 등 전자등록 변경, 말소"
2026-07-08,465320,UNKNOWN,trading_halt,halted,kind,https://kind.krx.co.kr/investwarn/tradinghaltissue.do?method=searchTradingHaltIssueMain,_report/raw/2026/2026-07-08/kind/status-source-probe/trading_halt.xls,medium,snapshot=trading_halt; 종목명=교보15호스팩; 사유=SPAC 합병(예비심사청구대상)
2026-07-08,465770,UNKNOWN,market_alert,caution,kind,https://kind.krx.co.kr/investwarn/investattentwarnrisky.do?method=investattentwarnriskyMain,_report/raw/2026/2026-07-08/kind/status-source-probe/market_alert_caution.xls,high,snapshot=market_alert_caution; 종목명=STX그린로지스; 유형=소수지점/계좌; 공시일=2026-07-07 | duplicate_source_row=snapshot=market_alert_caution; 종목명=STX그린로지스; 유형=매매관여과다종목; 공시일=2026-07-07
2026-07-08,468760,UNKNOWN,trading_halt,halted,kind,https://kind.krx.co.kr/investwarn/tradinghaltissue.do?method=searchTradingHaltIssueMain,_report/raw/2026/2026-07-08/kind/status-source-probe/trading_halt.xls,medium,snapshot=trading_halt; 종목명=유진스팩10호; 사유=SPAC 합병(예비심사청구대상)
2026-07-08,469480,UNKNOWN,trading_halt,halted,kind,https://kind.krx.co.kr/investwarn/tradinghaltissue.do?method=searchTradingHaltIssueMain,_report/raw/2026/2026-07-08/kind/status-source-probe/trading_halt.xls,medium,snapshot=trading_halt; 종목명=IBKS제24호스팩; 사유=SPAC 합병(예비심사청구대상)
2026-07-08,482680,UNKNOWN,trading_halt,halted,kind,https://kind.krx.co.kr/investwarn/tradinghaltissue.do?method=searchTradingHaltIssueMain,_report/raw/2026/2026-07-08/kind/status-source-probe/trading_halt.xls,medium,snapshot=trading_halt; 종목명=미래에셋비전스팩7호; 사유=SPAC 합병(예비심사청구대상)
