date,stock_daily_rows,issue_base_rows,index_daily_rows,stock_kospi_rows,stock_kosdaq_rows,issue_kospi_rows,issue_kosdaq_rows,duplicate_stock_keys,duplicate_issue_keys,missing_issue_for_stock,missing_stock_for_issue,stock_daily_delta_prev,issue_base_delta_prev,row_count_alert
2025-01-02,2745,2745,91,961,1784,961,1784,0,0,0,0,,,false
2025-01-03,2745,2745,91,961,1784,961,1784,0,0,0,0,0,0,false
2025-01-06,2745,2745,91,961,1784,961,1784,0,0,0,0,0,0,false
2025-01-07,2745,2745,91,961,1784,961,1784,0,0,0,0,0,0,false
2025-01-08,2744,2744,91,961,1783,961,1783,0,0,0,0,-1,-1,false
2025-01-09,2744,2744,91,961,1783,961,1783,0,0,0,0,0,0,false
2025-01-10,2744,2744,91,961,1783,961,1783,0,0,0,0,0,0,false
