fold_id,horizon_trading_days,fold_status,train_start_date,train_end_date,test_start_date,test_end_date,train_dates,test_dates,train_rows,test_rows,train_avg_baseline_net_return_pct,test_avg_baseline_net_return_pct,test_avg_stress_net_return_pct,test_avg_baseline_active_return_pct,test_positive_baseline_net_dates,test_positive_baseline_net_rate,broker_fee_override_required,oos_mode,order_intent_generated,notes
wf_01,1,pass_smoke_plumbing_only,2025-02-04,2025-03-04,2025-03-05,2025-03-18,20,10,20,10,-0.1615,-0.9466,-1.3166,-1.2224,3,0.3000,true,paper_oos_walk_forward_preflight_smoke_only,false,broker_fee_override_required;point_in_time_status_coverage_not_historical_complete;production_backtest_not_wired
wf_02,1,pass_smoke_plumbing_only,2025-02-04,2025-03-18,2025-03-19,2025-04-01,30,10,30,10,-0.4232,-0.6310,-1.0010,-0.1625,3,0.3000,true,paper_oos_walk_forward_preflight_smoke_only,false,broker_fee_override_required;point_in_time_status_coverage_not_historical_complete;production_backtest_not_wired
wf_03,1,pass_smoke_plumbing_only,2025-02-04,2025-04-01,2025-04-02,2025-04-15,40,10,40,10,-0.4751,1.3296,0.9596,1.5247,6,0.6000,true,paper_oos_walk_forward_preflight_smoke_only,false,broker_fee_override_required;point_in_time_status_coverage_not_historical_complete;production_backtest_not_wired
