code,name,market,security_type,listing_date,listing_age_calendar_days,base_status,base_reason,status,reason,avg_trading_value_20d_krw,liquidity_filter_status,liquidity_filter_reason,liquidity_rows_available,liquidity_rows_used,liquidity_latest_date,liquidity_raw_path
042420,네오위즈홀딩스,KOSDAQ,보통주,2000/06/27,9482,include,eligible_current_snapshot,exclude,liquidity_raw_missing,,data_missing,liquidity_raw_missing,0,0,,
042500,링네트,KOSDAQ,보통주,2002/01/10,8920,include,eligible_current_snapshot,exclude,liquidity_raw_missing,,data_missing,liquidity_raw_missing,0,0,,
042510,라온시큐어,KOSDAQ,보통주,2001/01/03,9292,include,eligible_current_snapshot,exclude,liquidity_raw_missing,,data_missing,liquidity_raw_missing,0,0,,
042520,한스바이오메드,KOSDAQ,보통주,2009/10/09,6091,include,eligible_current_snapshot,exclude,liquidity_raw_missing,,data_missing,liquidity_raw_missing,0,0,,
042600,새로닉스,KOSDAQ,보통주,2002/10/01,8656,include,eligible_current_snapshot,exclude,liquidity_raw_missing,,data_missing,liquidity_raw_missing,0,0,,
042660,한화오션,KOSPI,보통주,2001/02/02,9262,include,eligible_current_snapshot,exclude,liquidity_raw_missing,,data_missing,liquidity_raw_missing,0,0,,
042700,한미반도체,KOSPI,보통주,2005/07/22,7631,include,eligible_current_snapshot,exclude,liquidity_raw_missing,,data_missing,liquidity_raw_missing,0,0,,
042940,상지건설,KOSDAQ,보통주,2000/10/19,9368,include,eligible_current_snapshot,exclude,liquidity_raw_missing,,data_missing,liquidity_raw_missing,0,0,,
043090,더테크놀로지,KOSDAQ,보통주,2001/10/11,9011,exclude,managed_issue_current,exclude,managed_issue_current,,not_evaluated_preexisting_exclude,pre_liquidity_exclude,0,0,,
043100,알파AI,KOSDAQ,보통주,2000/08/08,9440,exclude,managed_issue_current,exclude,managed_issue_current,,not_evaluated_preexisting_exclude,pre_liquidity_exclude,0,0,,
043150,바텍,KOSDAQ,보통주,2006/09/29,7197,include,eligible_current_snapshot,exclude,liquidity_raw_missing,,data_missing,liquidity_raw_missing,0,0,,
043200,파루,KOSDAQ,보통주,2000/07/19,9460,include,eligible_current_snapshot,exclude,liquidity_raw_missing,,data_missing,liquidity_raw_missing,0,0,,
043220,티에스넥스젠,KOSDAQ,보통주,2001/07/03,9111,exclude,managed_issue_current,exclude,managed_issue_current,,not_evaluated_preexisting_exclude,pre_liquidity_exclude,0,0,,
043260,성호전자,KOSDAQ,보통주,2001/11/29,8962,include,eligible_current_snapshot,exclude,liquidity_raw_missing,,data_missing,liquidity_raw_missing,0,0,,
043340,에쎈테크,KOSDAQ,보통주,2000/08/29,9419,include,eligible_current_snapshot,exclude,liquidity_raw_missing,,data_missing,liquidity_raw_missing,0,0,,
043360,디지아이,KOSDAQ,보통주,2001/07/20,9094,include,eligible_current_snapshot,exclude,liquidity_raw_missing,,data_missing,liquidity_raw_missing,0,0,,
043370,피에이치에이,KOSDAQ,보통주,2001/12/13,8948,include,eligible_current_snapshot,exclude,liquidity_raw_missing,,data_missing,liquidity_raw_missing,0,0,,
043590,웰킵스하이텍,KOSDAQ,보통주,2001/12/20,8941,include,eligible_current_snapshot,exclude,liquidity_raw_missing,,data_missing,liquidity_raw_missing,0,0,,
043610,KT지니뮤직,KOSDAQ,보통주,2000/07/20,9459,include,eligible_current_snapshot,exclude,liquidity_raw_missing,,data_missing,liquidity_raw_missing,0,0,,
043650,국순당,KOSDAQ,보통주,2000/08/24,9424,include,eligible_current_snapshot,exclude,liquidity_raw_missing,,data_missing,liquidity_raw_missing,0,0,,
