date,stock_daily_rows,issue_base_rows,index_daily_rows,stock_kospi_rows,stock_kosdaq_rows,issue_kospi_rows,issue_kosdaq_rows,duplicate_stock_keys,duplicate_issue_keys,missing_issue_for_stock,missing_stock_for_issue,stock_daily_delta_prev,issue_base_delta_prev,row_count_alert
2025-04-21,2757,2757,91,962,1795,962,1795,0,0,0,0,,,false
2025-04-22,2757,2757,91,962,1795,962,1795,0,0,0,0,0,0,false
2025-04-23,2757,2757,91,962,1795,962,1795,0,0,0,0,0,0,false
2025-04-24,2757,2757,91,962,1795,962,1795,0,0,0,0,0,0,false
2025-04-25,2757,2757,91,962,1795,962,1795,0,0,0,0,0,0,false
2025-04-28,2758,2758,91,962,1796,962,1796,0,0,0,0,1,1,false
2025-04-29,2758,2758,91,962,1796,962,1796,0,0,0,0,0,0,false
2025-04-30,2758,2758,91,962,1796,962,1796,0,0,0,0,0,0,false
2025-05-01,0,2758,0,0,0,962,1796,0,0,0,2758,-2758,0,true
2025-05-02,2758,2758,91,962,1796,962,1796,0,0,0,0,2758,0,true
