date,code,stock_name,market,target_side,target_weight,rank_in_portfolio,source_signal_state,source_rank_in_date_state,source_roc_pct,source_strategy,source_signal_mode,portfolio_mode,target_mode,order_intent_generated
2025-02-04,010100,한국무브넥스,KOSPI,LONG,0.050000,1,BUY candidate,1,59.8965,001-strategy-universe-momentum,paper_signal_candidate_only,long_only,paper_portfolio_target_smoke_only,false
2025-02-04,300080,플리토,KOSDAQ,LONG,0.050000,2,BUY candidate,2,52.6348,001-strategy-universe-momentum,paper_signal_candidate_only,long_only,paper_portfolio_target_smoke_only,false
2025-02-04,160190,하이젠알앤엠,KOSDAQ,LONG,0.050000,3,BUY candidate,3,51.8987,001-strategy-universe-momentum,paper_signal_candidate_only,long_only,paper_portfolio_target_smoke_only,false
2025-02-04,301300,바이브컴퍼니,KOSDAQ,LONG,0.050000,4,BUY candidate,4,46.8293,001-strategy-universe-momentum,paper_signal_candidate_only,long_only,paper_portfolio_target_smoke_only,false
2025-02-04,113810,디젠스,KOSDAQ,LONG,0.050000,5,BUY candidate,5,44.3089,001-strategy-universe-momentum,paper_signal_candidate_only,long_only,paper_portfolio_target_smoke_only,false
2025-02-04,382150,온코크로스,KOSDAQ,LONG,0.050000,6,BUY candidate,6,42.8571,001-strategy-universe-momentum,paper_signal_candidate_only,long_only,paper_portfolio_target_smoke_only,false
2025-02-04,051630,진양화학,KOSPI,LONG,0.050000,7,BUY candidate,7,42.3022,001-strategy-universe-momentum,paper_signal_candidate_only,long_only,paper_portfolio_target_smoke_only,false
2025-02-04,000910,유니온,KOSPI,LONG,0.050000,8,BUY candidate,8,34.9421,001-strategy-universe-momentum,paper_signal_candidate_only,long_only,paper_portfolio_target_smoke_only,false
2025-02-04,277810,레인보우로보틱스,KOSDAQ,LONG,0.050000,9,BUY candidate,9,34.3874,001-strategy-universe-momentum,paper_signal_candidate_only,long_only,paper_portfolio_target_smoke_only,false
2025-02-04,042000,카페24,KOSDAQ,LONG,0.050000,10,BUY candidate,10,33.9926,001-strategy-universe-momentum,paper_signal_candidate_only,long_only,paper_portfolio_target_smoke_only,false
2025-02-04,450520,인스웨이브시스템즈,KOSDAQ,LONG,0.050000,11,BUY candidate,11,32.1290,001-strategy-universe-momentum,paper_signal_candidate_only,long_only,paper_portfolio_target_smoke_only,false
2025-02-04,010170,대한광통신,KOSDAQ,LONG,0.050000,12,BUY candidate,12,31.6953,001-strategy-universe-momentum,paper_signal_candidate_only,long_only,paper_portfolio_target_smoke_only,false
2025-02-04,232680,라온테크,KOSDAQ,LONG,0.050000,13,BUY candidate,13,31.5942,001-strategy-universe-momentum,paper_signal_candidate_only,long_only,paper_portfolio_target_smoke_only,false
2025-02-04,101000,KS인더스트리,KOSDAQ,LONG,0.050000,14,BUY candidate,14,29.3014,001-strategy-universe-momentum,paper_signal_candidate_only,long_only,paper_portfolio_target_smoke_only,false
2025-02-04,032580,피델릭스,KOSDAQ,LONG,0.050000,15,BUY candidate,15,28.3630,001-strategy-universe-momentum,paper_signal_candidate_only,long_only,paper_portfolio_target_smoke_only,false
2025-02-04,310210,보로노이,KOSDAQ,LONG,0.050000,16,BUY candidate,16,27.3713,001-strategy-universe-momentum,paper_signal_candidate_only,long_only,paper_portfolio_target_smoke_only,false
2025-02-04,033160,엠케이전자,KOSDAQ,LONG,0.050000,17,BUY candidate,17,26.8085,001-strategy-universe-momentum,paper_signal_candidate_only,long_only,paper_portfolio_target_smoke_only,false
2025-02-04,315640,딥노이드,KOSDAQ,LONG,0.050000,18,BUY candidate,18,26.6447,001-strategy-universe-momentum,paper_signal_candidate_only,long_only,paper_portfolio_target_smoke_only,false
2025-02-04,219550,디와이디,KOSDAQ,LONG,0.050000,19,BUY candidate,19,25.4637,001-strategy-universe-momentum,paper_signal_candidate_only,long_only,paper_portfolio_target_smoke_only,false
2025-02-04,416180,신성에스티,KOSDAQ,LONG,0.050000,20,BUY candidate,20,25.4606,001-strategy-universe-momentum,paper_signal_candidate_only,long_only,paper_portfolio_target_smoke_only,false
2025-02-05,351320,에스에이티이엔지,KOSDAQ,LONG,0.050000,1,BUY candidate,1,112.1745,001-strategy-universe-momentum,paper_signal_candidate_only,long_only,paper_portfolio_target_smoke_only,false
2025-02-05,010100,한국무브넥스,KOSPI,LONG,0.050000,2,BUY candidate,2,88.2353,001-strategy-universe-momentum,paper_signal_candidate_only,long_only,paper_portfolio_target_smoke_only,false
2025-02-05,301300,바이브컴퍼니,KOSDAQ,LONG,0.050000,3,BUY candidate,3,68.4080,001-strategy-universe-momentum,paper_signal_candidate_only,long_only,paper_portfolio_target_smoke_only,false
2025-02-05,300080,플리토,KOSDAQ,LONG,0.050000,4,BUY candidate,4,63.4375,001-strategy-universe-momentum,paper_signal_candidate_only,long_only,paper_portfolio_target_smoke_only,false
2025-02-05,160190,하이젠알앤엠,KOSDAQ,LONG,0.050000,5,BUY candidate,5,59.6958,001-strategy-universe-momentum,paper_signal_candidate_only,long_only,paper_portfolio_target_smoke_only,false
2025-02-05,051630,진양화학,KOSPI,LONG,0.050000,6,BUY candidate,6,51.8569,001-strategy-universe-momentum,paper_signal_candidate_only,long_only,paper_portfolio_target_smoke_only,false
2025-02-05,277810,레인보우로보틱스,KOSDAQ,LONG,0.050000,7,BUY candidate,7,49.5968,001-strategy-universe-momentum,paper_signal_candidate_only,long_only,paper_portfolio_target_smoke_only,false
2025-02-05,101000,KS인더스트리,KOSDAQ,LONG,0.050000,8,BUY candidate,8,46.0801,001-strategy-universe-momentum,paper_signal_candidate_only,long_only,paper_portfolio_target_smoke_only,false
2025-02-05,304100,솔트룩스,KOSDAQ,LONG,0.050000,9,BUY candidate,9,42.8879,001-strategy-universe-momentum,paper_signal_candidate_only,long_only,paper_portfolio_target_smoke_only,false
2025-02-05,042000,카페24,KOSDAQ,LONG,0.050000,10,BUY candidate,10,41.7402,001-strategy-universe-momentum,paper_signal_candidate_only,long_only,paper_portfolio_target_smoke_only,false
2025-02-05,067160,SOOP,KOSDAQ,LONG,0.050000,11,BUY candidate,11,40.1212,001-strategy-universe-momentum,paper_signal_candidate_only,long_only,paper_portfolio_target_smoke_only,false
2025-02-05,382150,온코크로스,KOSDAQ,LONG,0.050000,12,BUY candidate,12,39.7222,001-strategy-universe-momentum,paper_signal_candidate_only,long_only,paper_portfolio_target_smoke_only,false
2025-02-05,402030,코난테크놀로지,KOSDAQ,LONG,0.050000,13,BUY candidate,13,38.7255,001-strategy-universe-momentum,paper_signal_candidate_only,long_only,paper_portfolio_target_smoke_only,false
2025-02-05,219550,디와이디,KOSDAQ,LONG,0.050000,14,BUY candidate,14,37.8709,001-strategy-universe-momentum,paper_signal_candidate_only,long_only,paper_portfolio_target_smoke_only,false
2025-02-05,393210,토마토시스템,KOSDAQ,LONG,0.050000,15,BUY candidate,15,37.8313,001-strategy-universe-momentum,paper_signal_candidate_only,long_only,paper_portfolio_target_smoke_only,false
2025-02-05,232680,라온테크,KOSDAQ,LONG,0.050000,16,BUY candidate,16,37.8012,001-strategy-universe-momentum,paper_signal_candidate_only,long_only,paper_portfolio_target_smoke_only,false
2025-02-05,032580,피델릭스,KOSDAQ,LONG,0.050000,17,BUY candidate,17,37.4167,001-strategy-universe-momentum,paper_signal_candidate_only,long_only,paper_portfolio_target_smoke_only,false
2025-02-05,033160,엠케이전자,KOSDAQ,LONG,0.050000,18,BUY candidate,18,36.6959,001-strategy-universe-momentum,paper_signal_candidate_only,long_only,paper_portfolio_target_smoke_only,false
2025-02-05,000910,유니온,KOSPI,LONG,0.050000,19,BUY candidate,19,36.6864,001-strategy-universe-momentum,paper_signal_candidate_only,long_only,paper_portfolio_target_smoke_only,false
2025-02-05,176750,듀켐바이오,KOSDAQ,LONG,0.050000,20,BUY candidate,20,36.2772,001-strategy-universe-momentum,paper_signal_candidate_only,long_only,paper_portfolio_target_smoke_only,false
2025-02-06,351320,에스에이티이엔지,KOSDAQ,LONG,0.050000,1,BUY candidate,1,86.2483,001-strategy-universe-momentum,paper_signal_candidate_only,long_only,paper_portfolio_target_smoke_only,false
2025-02-06,382150,온코크로스,KOSDAQ,LONG,0.050000,2,BUY candidate,2,78.3083,001-strategy-universe-momentum,paper_signal_candidate_only,long_only,paper_portfolio_target_smoke_only,false
2025-02-06,301300,바이브컴퍼니,KOSDAQ,LONG,0.050000,3,BUY candidate,3,66.9118,001-strategy-universe-momentum,paper_signal_candidate_only,long_only,paper_portfolio_target_smoke_only,false
2025-02-06,067160,SOOP,KOSDAQ,LONG,0.050000,4,BUY candidate,4,59.8750,001-strategy-universe-momentum,paper_signal_candidate_only,long_only,paper_portfolio_target_smoke_only,false
2025-02-06,466100,클로봇,KOSDAQ,LONG,0.050000,5,BUY candidate,5,53.9252,001-strategy-universe-momentum,paper_signal_candidate_only,long_only,paper_portfolio_target_smoke_only,false
2025-02-06,219550,디와이디,KOSDAQ,LONG,0.050000,6,BUY candidate,6,52.3236,001-strategy-universe-momentum,paper_signal_candidate_only,long_only,paper_portfolio_target_smoke_only,false
2025-02-06,277810,레인보우로보틱스,KOSDAQ,LONG,0.050000,7,BUY candidate,7,51.6194,001-strategy-universe-momentum,paper_signal_candidate_only,long_only,paper_portfolio_target_smoke_only,false
2025-02-06,010100,한국무브넥스,KOSPI,LONG,0.050000,8,BUY candidate,8,50.2058,001-strategy-universe-momentum,paper_signal_candidate_only,long_only,paper_portfolio_target_smoke_only,false
2025-02-06,300080,플리토,KOSDAQ,LONG,0.050000,9,BUY candidate,9,50.1558,001-strategy-universe-momentum,paper_signal_candidate_only,long_only,paper_portfolio_target_smoke_only,false
2025-02-06,450520,인스웨이브시스템즈,KOSDAQ,LONG,0.050000,10,BUY candidate,10,48.0106,001-strategy-universe-momentum,paper_signal_candidate_only,long_only,paper_portfolio_target_smoke_only,false
