date,market_rows,unique_codes,event_codes_present,rows_with_event_code,rows_without_event_code,rows_with_applied_status_event,rows_excluded_by_status_event,event_code_row_ratio,applied_status_event_row_ratio,status_exclusion_row_ratio,coverage_status,coverage_notes
2025-01-02,2745,2745,233,233,2512,16,16,0.084882,0.005829,0.005829,hold,mode_not_historical_complete;no_release_like_events
2025-01-03,2745,2745,233,233,2512,16,16,0.084882,0.005829,0.005829,hold,mode_not_historical_complete;no_release_like_events
2025-01-06,2745,2745,233,233,2512,16,16,0.084882,0.005829,0.005829,hold,mode_not_historical_complete;no_release_like_events
2025-01-07,2745,2745,233,233,2512,16,16,0.084882,0.005829,0.005829,hold,mode_not_historical_complete;no_release_like_events
2025-01-08,2744,2744,233,233,2511,16,16,0.084913,0.005831,0.005831,hold,mode_not_historical_complete;no_release_like_events
2025-01-09,2744,2744,233,233,2511,16,16,0.084913,0.005831,0.005831,hold,mode_not_historical_complete;no_release_like_events
2025-01-10,2744,2744,233,233,2511,16,16,0.084913,0.005831,0.005831,hold,mode_not_historical_complete;no_release_like_events
2025-01-13,2744,2744,233,233,2511,16,16,0.084913,0.005831,0.005831,hold,mode_not_historical_complete;no_release_like_events
2025-01-14,2744,2744,233,233,2511,16,16,0.084913,0.005831,0.005831,hold,mode_not_historical_complete;no_release_like_events
2025-01-15,2744,2744,233,233,2511,17,17,0.084913,0.006195,0.006195,hold,mode_not_historical_complete;no_release_like_events
2025-01-16,2744,2744,233,233,2511,17,17,0.084913,0.006195,0.006195,hold,mode_not_historical_complete;no_release_like_events
2025-01-17,2744,2744,233,233,2511,17,17,0.084913,0.006195,0.006195,hold,mode_not_historical_complete;no_release_like_events
2025-01-20,2744,2744,233,233,2511,17,17,0.084913,0.006195,0.006195,hold,mode_not_historical_complete;no_release_like_events
2025-01-21,2744,2744,233,233,2511,17,17,0.084913,0.006195,0.006195,hold,mode_not_historical_complete;no_release_like_events
2025-01-22,2744,2744,233,233,2511,17,17,0.084913,0.006195,0.006195,hold,mode_not_historical_complete;no_release_like_events
2025-01-23,2746,2746,233,233,2513,17,17,0.084851,0.006191,0.006191,hold,mode_not_historical_complete;no_release_like_events
2025-01-24,2749,2749,233,233,2516,17,17,0.084758,0.006184,0.006184,hold,mode_not_historical_complete;no_release_like_events
2025-01-31,2749,2749,233,233,2516,17,17,0.084758,0.006184,0.006184,hold,mode_not_historical_complete;no_release_like_events
2025-02-03,2750,2750,233,233,2517,17,17,0.084727,0.006182,0.006182,hold,mode_not_historical_complete;no_release_like_events
2025-02-04,2751,2751,233,233,2518,17,17,0.084696,0.006180,0.006180,hold,mode_not_historical_complete;no_release_like_events
2025-02-05,2752,2752,233,233,2519,17,17,0.084666,0.006177,0.006177,hold,mode_not_historical_complete;no_release_like_events
2025-02-06,2752,2752,233,233,2519,17,17,0.084666,0.006177,0.006177,hold,mode_not_historical_complete;no_release_like_events
2025-02-07,2752,2752,233,233,2519,17,17,0.084666,0.006177,0.006177,hold,mode_not_historical_complete;no_release_like_events
2025-02-10,2751,2751,233,233,2518,17,17,0.084696,0.006180,0.006180,hold,mode_not_historical_complete;no_release_like_events
2025-02-11,2750,2750,233,233,2517,17,17,0.084727,0.006182,0.006182,hold,mode_not_historical_complete;no_release_like_events
2025-02-12,2751,2751,233,233,2518,17,17,0.084696,0.006180,0.006180,hold,mode_not_historical_complete;no_release_like_events
2025-02-13,2752,2752,233,233,2519,17,17,0.084666,0.006177,0.006177,hold,mode_not_historical_complete;no_release_like_events
2025-02-14,2751,2751,233,233,2518,17,17,0.084696,0.006180,0.006180,hold,mode_not_historical_complete;no_release_like_events
2025-02-17,2752,2752,233,233,2519,17,17,0.084666,0.006177,0.006177,hold,mode_not_historical_complete;no_release_like_events
2025-02-18,2752,2752,233,233,2519,17,17,0.084666,0.006177,0.006177,hold,mode_not_historical_complete;no_release_like_events
2025-02-19,2751,2751,233,233,2518,17,17,0.084696,0.006180,0.006180,hold,mode_not_historical_complete;no_release_like_events
2025-02-20,2752,2752,233,233,2519,17,17,0.084666,0.006177,0.006177,hold,mode_not_historical_complete;no_release_like_events
2025-02-21,2751,2751,233,233,2518,17,17,0.084696,0.006180,0.006180,hold,mode_not_historical_complete;no_release_like_events
2025-02-24,2751,2751,233,233,2518,17,17,0.084696,0.006180,0.006180,hold,mode_not_historical_complete;no_release_like_events
2025-02-25,2752,2752,233,233,2519,17,17,0.084666,0.006177,0.006177,hold,mode_not_historical_complete;no_release_like_events
2025-02-26,2752,2752,233,233,2519,17,17,0.084666,0.006177,0.006177,hold,mode_not_historical_complete;no_release_like_events
2025-02-27,2752,2752,233,233,2519,17,17,0.084666,0.006177,0.006177,hold,mode_not_historical_complete;no_release_like_events
2025-02-28,2752,2752,233,233,2519,17,17,0.084666,0.006177,0.006177,hold,mode_not_historical_complete;no_release_like_events
2025-03-04,2752,2752,233,233,2519,17,17,0.084666,0.006177,0.006177,hold,mode_not_historical_complete;no_release_like_events
2025-03-05,2752,2752,233,233,2519,17,17,0.084666,0.006177,0.006177,hold,mode_not_historical_complete;no_release_like_events
2025-03-06,2753,2753,234,234,2519,17,17,0.084998,0.006175,0.006175,hold,mode_not_historical_complete;no_release_like_events
2025-03-07,2753,2753,234,234,2519,17,17,0.084998,0.006175,0.006175,hold,mode_not_historical_complete;no_release_like_events
