date,code,stock_name,market,signal_state,horizon_trading_days,evaluation_status,forward_date,signal_close,forward_close,raw_forward_return_pct,directional_forward_score_pct,source_strategy,signal_mode,evaluation_mode
2025-02-05,160190,하이젠알앤엠,KOSDAQ,BUY candidate,1,complete,2025-02-06,42000.0000,42050.0000,0.1190,0.1190,001-strategy-universe-momentum,paper_signal_candidate_only,paper_forward_return_smoke_only
2025-02-05,160190,하이젠알앤엠,KOSDAQ,BUY candidate,5,complete,2025-02-12,42000.0000,34700.0000,-17.3810,-17.3810,001-strategy-universe-momentum,paper_signal_candidate_only,paper_forward_return_smoke_only
2025-02-05,351320,에스에이티이엔지,KOSDAQ,BUY candidate,1,complete,2025-02-06,3015.0000,2790.0000,-7.4627,-7.4627,001-strategy-universe-momentum,paper_signal_candidate_only,paper_forward_return_smoke_only
2025-02-05,351320,에스에이티이엔지,KOSDAQ,BUY candidate,5,complete,2025-02-12,3015.0000,2575.0000,-14.5937,-14.5937,001-strategy-universe-momentum,paper_signal_candidate_only,paper_forward_return_smoke_only
2025-02-05,010100,한국무브넥스,KOSPI,BUY candidate,1,complete,2025-02-06,7040.0000,7300.0000,3.6932,3.6932,001-strategy-universe-momentum,paper_signal_candidate_only,paper_forward_return_smoke_only
2025-02-05,010100,한국무브넥스,KOSPI,BUY candidate,5,complete,2025-02-12,7040.0000,5220.0000,-25.8523,-25.8523,001-strategy-universe-momentum,paper_signal_candidate_only,paper_forward_return_smoke_only
2025-02-05,098460,고영,KOSDAQ,BUY candidate,1,complete,2025-02-06,17710.0000,17560.0000,-0.8470,-0.8470,001-strategy-universe-momentum,paper_signal_candidate_only,paper_forward_return_smoke_only
2025-02-05,098460,고영,KOSDAQ,BUY candidate,5,complete,2025-02-12,17710.0000,18760.0000,5.9289,5.9289,001-strategy-universe-momentum,paper_signal_candidate_only,paper_forward_return_smoke_only
2025-02-05,168360,펨트론,KOSDAQ,BUY candidate,1,complete,2025-02-06,9760.0000,10000.0000,2.4590,2.4590,001-strategy-universe-momentum,paper_signal_candidate_only,paper_forward_return_smoke_only
2025-02-05,168360,펨트론,KOSDAQ,BUY candidate,5,complete,2025-02-12,9760.0000,10720.0000,9.8361,9.8361,001-strategy-universe-momentum,paper_signal_candidate_only,paper_forward_return_smoke_only
2025-02-05,277810,레인보우로보틱스,KOSDAQ,BUY candidate,1,complete,2025-02-06,371000.0000,374500.0000,0.9434,0.9434,001-strategy-universe-momentum,paper_signal_candidate_only,paper_forward_return_smoke_only
2025-02-05,277810,레인보우로보틱스,KOSDAQ,BUY candidate,5,complete,2025-02-12,371000.0000,373000.0000,0.5391,0.5391,001-strategy-universe-momentum,paper_signal_candidate_only,paper_forward_return_smoke_only
2025-02-05,301300,바이브컴퍼니,KOSDAQ,BUY candidate,1,complete,2025-02-06,6770.0000,6810.0000,0.5908,0.5908,001-strategy-universe-momentum,paper_signal_candidate_only,paper_forward_return_smoke_only
2025-02-05,301300,바이브컴퍼니,KOSDAQ,BUY candidate,5,complete,2025-02-12,6770.0000,5550.0000,-18.0207,-18.0207,001-strategy-universe-momentum,paper_signal_candidate_only,paper_forward_return_smoke_only
2025-02-05,123010,아이윈플러스,KOSDAQ,BUY candidate,1,complete,2025-02-06,1930.0000,1799.0000,-6.7876,-6.7876,001-strategy-universe-momentum,paper_signal_candidate_only,paper_forward_return_smoke_only
2025-02-05,123010,아이윈플러스,KOSDAQ,BUY candidate,5,complete,2025-02-12,1930.0000,1720.0000,-10.8808,-10.8808,001-strategy-universe-momentum,paper_signal_candidate_only,paper_forward_return_smoke_only
2025-02-05,332570,와이팜,KOSDAQ,BUY candidate,1,complete,2025-02-06,4910.0000,5250.0000,6.9246,6.9246,001-strategy-universe-momentum,paper_signal_candidate_only,paper_forward_return_smoke_only
2025-02-05,332570,와이팜,KOSDAQ,BUY candidate,5,complete,2025-02-12,4910.0000,4680.0000,-4.6843,-4.6843,001-strategy-universe-momentum,paper_signal_candidate_only,paper_forward_return_smoke_only
2025-02-05,430690,한싹,KOSDAQ,BUY candidate,1,complete,2025-02-06,6390.0000,6200.0000,-2.9734,-2.9734,001-strategy-universe-momentum,paper_signal_candidate_only,paper_forward_return_smoke_only
2025-02-05,430690,한싹,KOSDAQ,BUY candidate,5,complete,2025-02-12,6390.0000,5690.0000,-10.9546,-10.9546,001-strategy-universe-momentum,paper_signal_candidate_only,paper_forward_return_smoke_only
2025-02-05,382150,온코크로스,KOSDAQ,BUY candidate,1,complete,2025-02-06,10060.0000,13070.0000,29.9205,29.9205,001-strategy-universe-momentum,paper_signal_candidate_only,paper_forward_return_smoke_only
2025-02-05,382150,온코크로스,KOSDAQ,BUY candidate,5,complete,2025-02-12,10060.0000,11340.0000,12.7237,12.7237,001-strategy-universe-momentum,paper_signal_candidate_only,paper_forward_return_smoke_only
2025-02-05,042660,한화오션,KOSPI,BUY candidate,1,complete,2025-02-06,60000.0000,61700.0000,2.8333,2.8333,001-strategy-universe-momentum,paper_signal_candidate_only,paper_forward_return_smoke_only
2025-02-05,042660,한화오션,KOSPI,BUY candidate,5,complete,2025-02-12,60000.0000,72900.0000,21.5000,21.5000,001-strategy-universe-momentum,paper_signal_candidate_only,paper_forward_return_smoke_only
2025-02-05,208710,바이오로그디바이스,KOSDAQ,BUY candidate,1,complete,2025-02-06,667.0000,640.0000,-4.0480,-4.0480,001-strategy-universe-momentum,paper_signal_candidate_only,paper_forward_return_smoke_only
2025-02-05,208710,바이오로그디바이스,KOSDAQ,BUY candidate,5,complete,2025-02-12,667.0000,704.0000,5.5472,5.5472,001-strategy-universe-momentum,paper_signal_candidate_only,paper_forward_return_smoke_only
2025-02-05,042000,카페24,KOSDAQ,BUY candidate,1,complete,2025-02-06,56200.0000,56300.0000,0.1779,0.1779,001-strategy-universe-momentum,paper_signal_candidate_only,paper_forward_return_smoke_only
2025-02-05,042000,카페24,KOSDAQ,BUY candidate,5,complete,2025-02-12,56200.0000,57400.0000,2.1352,2.1352,001-strategy-universe-momentum,paper_signal_candidate_only,paper_forward_return_smoke_only
2025-02-05,297090,씨에스베어링,KOSDAQ,BUY candidate,1,complete,2025-02-06,7270.0000,7550.0000,3.8514,3.8514,001-strategy-universe-momentum,paper_signal_candidate_only,paper_forward_return_smoke_only
2025-02-05,297090,씨에스베어링,KOSDAQ,BUY candidate,5,complete,2025-02-12,7270.0000,6510.0000,-10.4539,-10.4539,001-strategy-universe-momentum,paper_signal_candidate_only,paper_forward_return_smoke_only
2025-02-05,051630,진양화학,KOSPI,BUY candidate,1,complete,2025-02-06,5520.0000,5230.0000,-5.2536,-5.2536,001-strategy-universe-momentum,paper_signal_candidate_only,paper_forward_return_smoke_only
2025-02-05,051630,진양화학,KOSPI,BUY candidate,5,complete,2025-02-12,5520.0000,4400.0000,-20.2899,-20.2899,001-strategy-universe-momentum,paper_signal_candidate_only,paper_forward_return_smoke_only
2025-02-05,317830,에스피시스템스,KOSDAQ,BUY candidate,1,complete,2025-02-06,8820.0000,9580.0000,8.6168,8.6168,001-strategy-universe-momentum,paper_signal_candidate_only,paper_forward_return_smoke_only
2025-02-05,317830,에스피시스템스,KOSDAQ,BUY candidate,5,complete,2025-02-12,8820.0000,9240.0000,4.7619,4.7619,001-strategy-universe-momentum,paper_signal_candidate_only,paper_forward_return_smoke_only
2025-02-05,108490,로보티즈,KOSDAQ,BUY candidate,1,complete,2025-02-06,40650.0000,38800.0000,-4.5510,-4.5510,001-strategy-universe-momentum,paper_signal_candidate_only,paper_forward_return_smoke_only
2025-02-05,108490,로보티즈,KOSDAQ,BUY candidate,5,complete,2025-02-12,40650.0000,34400.0000,-15.3752,-15.3752,001-strategy-universe-momentum,paper_signal_candidate_only,paper_forward_return_smoke_only
2025-02-05,080220,제주반도체,KOSDAQ,BUY candidate,1,complete,2025-02-06,14030.0000,14160.0000,0.9266,0.9266,001-strategy-universe-momentum,paper_signal_candidate_only,paper_forward_return_smoke_only
2025-02-05,080220,제주반도체,KOSDAQ,BUY candidate,5,complete,2025-02-12,14030.0000,17350.0000,23.6636,23.6636,001-strategy-universe-momentum,paper_signal_candidate_only,paper_forward_return_smoke_only
2025-02-05,010770,평화홀딩스,KOSPI,BUY candidate,1,complete,2025-02-06,3770.0000,3735.0000,-0.9284,-0.9284,001-strategy-universe-momentum,paper_signal_candidate_only,paper_forward_return_smoke_only
2025-02-05,010770,평화홀딩스,KOSPI,BUY candidate,5,complete,2025-02-12,3770.0000,4155.0000,10.2122,10.2122,001-strategy-universe-momentum,paper_signal_candidate_only,paper_forward_return_smoke_only
2025-02-05,019490,엑시큐어하이트론,KOSPI,SELL candidate,1,complete,2025-02-06,829.0000,805.0000,-2.8951,2.8951,001-strategy-universe-momentum,paper_signal_candidate_only,paper_forward_return_smoke_only
