date,market_rows,unique_codes,event_codes_present,rows_with_event_code,rows_without_event_code,rows_with_applied_status_event,rows_excluded_by_status_event,event_code_row_ratio,applied_status_event_row_ratio,status_exclusion_row_ratio,coverage_status,coverage_notes
2025-01-02,2745,2745,264,264,2481,16,16,0.096175,0.005829,0.005829,hold,mode_not_historical_complete;no_release_like_events;missing_lifecycle_release_events;source_coverage_manifest_not_supplied
2025-01-03,2745,2745,264,264,2481,16,16,0.096175,0.005829,0.005829,hold,mode_not_historical_complete;no_release_like_events;missing_lifecycle_release_events;source_coverage_manifest_not_supplied
2025-01-06,2745,2745,264,264,2481,16,16,0.096175,0.005829,0.005829,hold,mode_not_historical_complete;no_release_like_events;missing_lifecycle_release_events;source_coverage_manifest_not_supplied
2025-01-07,2745,2745,264,264,2481,16,16,0.096175,0.005829,0.005829,hold,mode_not_historical_complete;no_release_like_events;missing_lifecycle_release_events;source_coverage_manifest_not_supplied
2025-01-08,2744,2744,264,264,2480,16,16,0.096210,0.005831,0.005831,hold,mode_not_historical_complete;no_release_like_events;missing_lifecycle_release_events;source_coverage_manifest_not_supplied
2025-01-09,2744,2744,264,264,2480,16,16,0.096210,0.005831,0.005831,hold,mode_not_historical_complete;no_release_like_events;missing_lifecycle_release_events;source_coverage_manifest_not_supplied
2025-01-10,2744,2744,264,264,2480,16,16,0.096210,0.005831,0.005831,hold,mode_not_historical_complete;no_release_like_events;missing_lifecycle_release_events;source_coverage_manifest_not_supplied
2025-01-13,2744,2744,264,264,2480,16,16,0.096210,0.005831,0.005831,hold,mode_not_historical_complete;no_release_like_events;missing_lifecycle_release_events;source_coverage_manifest_not_supplied
2025-01-14,2744,2744,264,264,2480,16,16,0.096210,0.005831,0.005831,hold,mode_not_historical_complete;no_release_like_events;missing_lifecycle_release_events;source_coverage_manifest_not_supplied
2025-01-15,2744,2744,264,264,2480,17,17,0.096210,0.006195,0.006195,hold,mode_not_historical_complete;no_release_like_events;missing_lifecycle_release_events;source_coverage_manifest_not_supplied
2025-01-16,2744,2744,264,264,2480,17,17,0.096210,0.006195,0.006195,hold,mode_not_historical_complete;no_release_like_events;missing_lifecycle_release_events;source_coverage_manifest_not_supplied
2025-01-17,2744,2744,264,264,2480,17,17,0.096210,0.006195,0.006195,hold,mode_not_historical_complete;no_release_like_events;missing_lifecycle_release_events;source_coverage_manifest_not_supplied
