date,code,stock_name,market,horizon_trading_days,evaluation_status,forward_date,target_side,target_weight,raw_forward_return_pct,weighted_return_contribution_pct,benchmark_label,benchmark_join_status,benchmark_return_pct,excess_return_pct,weighted_excess_return_contribution_pct,source_signal_state,target_mode,pnl_mode,order_intent_generated
2025-02-04,010100,한국무브넥스,KOSPI,1,complete,2025-02-05,LONG,0.050000,13.9159,0.6958,KOSPI,complete,1.1113,12.8046,0.6402,BUY candidate,paper_portfolio_target_smoke_only,paper_backtest_pnl_smoke_only,false
2025-02-04,300080,플리토,KOSDAQ,1,complete,2025-02-05,LONG,0.050000,3.7698,0.1885,KOSPI,complete,1.1113,2.6585,0.1329,BUY candidate,paper_portfolio_target_smoke_only,paper_backtest_pnl_smoke_only,false
2025-02-04,160190,하이젠알앤엠,KOSDAQ,1,complete,2025-02-05,LONG,0.050000,0.0000,0.0000,KOSPI,complete,1.1113,-1.1113,-0.0556,BUY candidate,paper_portfolio_target_smoke_only,paper_backtest_pnl_smoke_only,false
2025-02-04,301300,바이브컴퍼니,KOSDAQ,1,complete,2025-02-05,LONG,0.050000,12.4585,0.6229,KOSPI,complete,1.1113,11.3472,0.5674,BUY candidate,paper_portfolio_target_smoke_only,paper_backtest_pnl_smoke_only,false
2025-02-04,113810,디젠스,KOSDAQ,1,complete,2025-02-05,LONG,0.050000,-7.0423,-0.3521,KOSPI,complete,1.1113,-8.1536,-0.4077,BUY candidate,paper_portfolio_target_smoke_only,paper_backtest_pnl_smoke_only,false
2025-02-04,382150,온코크로스,KOSDAQ,1,complete,2025-02-05,LONG,0.050000,3.7113,0.1856,KOSPI,complete,1.1113,2.6000,0.1300,BUY candidate,paper_portfolio_target_smoke_only,paper_backtest_pnl_smoke_only,false
2025-02-04,051630,진양화학,KOSPI,1,complete,2025-02-05,LONG,0.050000,11.6279,0.5814,KOSPI,complete,1.1113,10.5166,0.5258,BUY candidate,paper_portfolio_target_smoke_only,paper_backtest_pnl_smoke_only,false
2025-02-04,000910,유니온,KOSPI,1,complete,2025-02-05,LONG,0.050000,-0.8584,-0.0429,KOSPI,complete,1.1113,-1.9697,-0.0985,BUY candidate,paper_portfolio_target_smoke_only,paper_backtest_pnl_smoke_only,false
2025-02-04,277810,레인보우로보틱스,KOSDAQ,1,complete,2025-02-05,LONG,0.050000,9.1176,0.4559,KOSPI,complete,1.1113,8.0063,0.4003,BUY candidate,paper_portfolio_target_smoke_only,paper_backtest_pnl_smoke_only,false
2025-02-04,042000,카페24,KOSDAQ,1,complete,2025-02-05,LONG,0.050000,3.6900,0.1845,KOSPI,complete,1.1113,2.5787,0.1289,BUY candidate,paper_portfolio_target_smoke_only,paper_backtest_pnl_smoke_only,false
2025-02-04,450520,인스웨이브시스템즈,KOSDAQ,1,complete,2025-02-05,LONG,0.050000,2.1484,0.1074,KOSPI,complete,1.1113,1.0371,0.0519,BUY candidate,paper_portfolio_target_smoke_only,paper_backtest_pnl_smoke_only,false
2025-02-04,010170,대한광통신,KOSDAQ,1,complete,2025-02-05,LONG,0.050000,-3.1716,-0.1586,KOSPI,complete,1.1113,-4.2829,-0.2141,BUY candidate,paper_portfolio_target_smoke_only,paper_backtest_pnl_smoke_only,false
2025-02-04,232680,라온테크,KOSDAQ,1,complete,2025-02-05,LONG,0.050000,0.7709,0.0385,KOSPI,complete,1.1113,-0.3404,-0.0170,BUY candidate,paper_portfolio_target_smoke_only,paper_backtest_pnl_smoke_only,false
2025-02-04,101000,KS인더스트리,KOSDAQ,1,complete,2025-02-05,LONG,0.050000,4.4355,0.2218,KOSPI,complete,1.1113,3.3242,0.1662,BUY candidate,paper_portfolio_target_smoke_only,paper_backtest_pnl_smoke_only,false
2025-02-04,032580,피델릭스,KOSDAQ,1,complete,2025-02-05,LONG,0.050000,4.1035,0.2052,KOSPI,complete,1.1113,2.9922,0.1496,BUY candidate,paper_portfolio_target_smoke_only,paper_backtest_pnl_smoke_only,false
2025-02-04,310210,보로노이,KOSDAQ,1,complete,2025-02-05,LONG,0.050000,7.5532,0.3777,KOSPI,complete,1.1113,6.4419,0.3221,BUY candidate,paper_portfolio_target_smoke_only,paper_backtest_pnl_smoke_only,false
2025-02-04,033160,엠케이전자,KOSDAQ,1,complete,2025-02-05,LONG,0.050000,4.5861,0.2293,KOSPI,complete,1.1113,3.4748,0.1737,BUY candidate,paper_portfolio_target_smoke_only,paper_backtest_pnl_smoke_only,false
2025-02-04,315640,딥노이드,KOSDAQ,1,complete,2025-02-05,LONG,0.050000,2.4675,0.1234,KOSPI,complete,1.1113,1.3562,0.0678,BUY candidate,paper_portfolio_target_smoke_only,paper_backtest_pnl_smoke_only,false
2025-02-04,219550,디와이디,KOSDAQ,1,complete,2025-02-05,LONG,0.050000,6.1828,0.3091,KOSPI,complete,1.1113,5.0715,0.2536,BUY candidate,paper_portfolio_target_smoke_only,paper_backtest_pnl_smoke_only,false
2025-02-04,416180,신성에스티,KOSDAQ,1,complete,2025-02-05,LONG,0.050000,2.2697,0.1135,KOSPI,complete,1.1113,1.1584,0.0579,BUY candidate,paper_portfolio_target_smoke_only,paper_backtest_pnl_smoke_only,false
