code,name,market,security_type,status,reason
006805,미래에셋증권우,KOSPI,구형우선주,exclude,instrument_type_excluded
00680K,미래에셋증권2우B,KOSPI,신형우선주,exclude,instrument_type_excluded
0068Y0,비엔케이제3호스팩,KOSDAQ,보통주,exclude,instrument_name_excluded
0070X0,에스테크엠,KONEX,보통주,exclude,market_not_allowed
0071M0,삼성스팩11호,KOSDAQ,보통주,exclude,instrument_name_excluded
0072Z0,KB제33호스팩,KOSDAQ,보통주,exclude,instrument_name_excluded
007575,일양약품우,KOSPI,구형우선주,exclude,instrument_type_excluded
007815,코리아써우,KOSPI,구형우선주,exclude,instrument_type_excluded
00781K,코리아써키트2우B,KOSPI,종류주권,exclude,preferred_share_name
00806K,대덕1우,KOSPI,종류주권,exclude,preferred_share_name
008355,남선알미우,KOSPI,구형우선주,exclude,instrument_type_excluded
008500,일정실업,KOSPI,보통주,exclude,managed_issue_current
008600,윌비스,KOSPI,보통주,exclude,managed_issue_current
008775,호텔신라우,KOSPI,구형우선주,exclude,instrument_type_excluded
0088D0,메리츠제1호스팩,KOSDAQ,보통주,exclude,instrument_name_excluded
009155,삼성전기우,KOSPI,구형우선주,exclude,instrument_type_excluded
0091W0,신영스팩11호,KOSDAQ,보통주,exclude,instrument_name_excluded
0093G0,미래에셋비전스팩8호,KOSDAQ,보통주,exclude,instrument_name_excluded
009415,태영건설우,KOSPI,구형우선주,exclude,instrument_type_excluded
009440,KC그린홀딩스,KOSPI,보통주,exclude,managed_issue_current
0096B0,삼성스팩12호,KOSDAQ,보통주,exclude,instrument_name_excluded
0096D0,미래에셋비전스팩9호,KOSDAQ,보통주,exclude,instrument_name_excluded
0097F0,미래에셋비전스팩10호,KOSDAQ,보통주,exclude,instrument_name_excluded
009835,한화솔루션우,KOSPI,구형우선주,exclude,instrument_type_excluded
0098T0,교보19호스팩,KOSDAQ,보통주,exclude,instrument_name_excluded
0099W0,미래에셋비전스팩11호,KOSDAQ,보통주,exclude,instrument_name_excluded
0099X0,IBKS제25호스팩,KOSDAQ,보통주,exclude,instrument_name_excluded
0101C0,하나36호스팩,KOSDAQ,보통주,exclude,instrument_name_excluded
0105P0,유진스팩12호,KOSDAQ,보통주,exclude,instrument_name_excluded
010955,S-Oil우,KOSPI,구형우선주,exclude,instrument_type_excluded
011000,진원생명과학,KOSPI,보통주,exclude,managed_issue_current
011155,CJ씨푸드1우,KOSPI,구형우선주,exclude,instrument_type_excluded
0115H0,삼성스팩13호,KOSDAQ,보통주,exclude,instrument_name_excluded
011785,금호석유화학우,KOSPI,구형우선주,exclude,instrument_type_excluded
011810,STX,KOSPI,보통주,exclude,managed_issue_current
012205,계양전기우,KOSPI,구형우선주,exclude,instrument_type_excluded
0129K0,신한제18호스팩,KOSDAQ,보통주,exclude,instrument_name_excluded
0130D0,신한제17호스팩,KOSDAQ,보통주,exclude,instrument_name_excluded
0130H0,엔에이치스팩33호,KOSDAQ,보통주,exclude,instrument_name_excluded
0131D0,키움히어로제2호스팩,KOSDAQ,보통주,exclude,instrument_name_excluded
0132G0,교보20호스팩,KOSDAQ,보통주,exclude,instrument_name_excluded
0134X0,대신밸런스제20호스팩,KOSDAQ,보통주,exclude,instrument_name_excluded
014285,금강공업우,KOSPI,구형우선주,exclude,instrument_type_excluded
014825,동원시스템즈우,KOSPI,구형우선주,exclude,instrument_type_excluded
014915,성문전자우,KOSPI,구형우선주,exclude,instrument_type_excluded
015020,이스타코,KOSPI,보통주,exclude,managed_issue_current
016790,현대사료,KOSDAQ,보통주,exclude,managed_issue_current
017040,광명전기,KOSPI,보통주,exclude,managed_issue_current
019175,신풍제약우,KOSPI,구형우선주,exclude,instrument_type_excluded
019490,엑시큐어하이트론,KOSPI,보통주,exclude,managed_issue_current
019685,대교우B,KOSPI,신형우선주,exclude,instrument_type_excluded
021045,대호특수강우,KOSDAQ,신형우선주,exclude,instrument_type_excluded
023440,제이스코홀딩스,KOSDAQ,보통주,exclude,managed_issue_current
024830,세원물산,KOSDAQ,보통주,exclude,managed_issue_current
026910,광진실업,KOSDAQ,보통주,exclude,managed_issue_current
02826K,삼성물산우B,KOSPI,종류주권,exclude,preferred_share_name
030350,드래곤플라이,KOSDAQ,보통주,exclude,managed_issue_current
031860,디에이치엑스컴퍼니,KOSDAQ,보통주,exclude,managed_issue_current
032685,소프트센우,KOSDAQ,신형우선주,exclude,instrument_type_excluded
032960,동일기연,KOSDAQ,보통주,exclude,managed_issue_current
032980,바이온,KOSDAQ,보통주,exclude,managed_issue_current
03473K,SK우,KOSPI,종류주권,exclude,preferred_share_name
03481K,해성산업1우,KOSDAQ,종류주권,exclude,preferred_share_name
036690,코맥스,KOSDAQ,보통주,exclude,managed_issue_current
041590,플래스크,KOSDAQ,보통주,exclude,managed_issue_current
043090,더테크놀로지,KOSDAQ,보통주,exclude,managed_issue_current
043100,알파AI,KOSDAQ,보통주,exclude,managed_issue_current
043220,티에스넥스젠,KOSDAQ,보통주,exclude,managed_issue_current
044180,KD,KOSDAQ,보통주,exclude,managed_issue_current
046070,코다코,KOSDAQ,보통주,exclude,managed_issue_current
049180,셀루메드,KOSDAQ,보통주,exclude,managed_issue_current
