code,market,status_type,lifecycle_gap_status,active_like_rows,release_like_rows,first_active_event_date,latest_active_event_date,first_release_like_event_date,latest_release_like_event_date,market_rows,market_start,market_end,event_sources,raw_paths,notes
291650,KOSDAQ,market_alert,missing_release_resume_evidence,1,0,2026-07-09,2026-07-09,,,72,2025-01-02,2025-04-18,kind,_report/raw/2026/2026-07-09/kind/status-source-probe/market_alert_caution.xls,release_resume_collection_target
291810,KOSDAQ,market_alert,missing_release_resume_evidence,1,0,2026-07-03,2026-07-03,,,72,2025-01-02,2025-04-18,kind,_report/raw/2026/2026-07-03/kind/status-source-probe/market_alert_caution.xls,release_resume_collection_target
294090,KOSDAQ,managed_issue,missing_release_resume_evidence,1,0,2025-03-24,2025-03-24,,,72,2025-01-02,2025-04-18,kind,_report/raw/2026/2026-07-03/kind/status-source-probe/managed_issue.xls;_report/raw/2026/2026-07-08/kind/status-source-probe/managed_issue.xls;_report/raw/2026/2026-07-09/kind/status-source-probe/managed_issue.xls,release_resume_collection_target
294090,KOSDAQ,trading_halt,missing_release_resume_evidence,3,0,2026-07-03,2026-07-09,,,72,2025-01-02,2025-04-18,kind,_report/raw/2026/2026-07-03/kind/status-source-probe/trading_halt.xls;_report/raw/2026/2026-07-08/kind/status-source-probe/trading_halt.xls;_report/raw/2026/2026-07-09/kind/status-source-probe/trading_halt.xls,release_resume_collection_target
294140,KOSDAQ,managed_issue,missing_release_resume_evidence,1,0,2026-03-23,2026-03-23,,,72,2025-01-02,2025-04-18,kind,_report/raw/2026/2026-07-03/kind/status-source-probe/managed_issue.xls;_report/raw/2026/2026-07-08/kind/status-source-probe/managed_issue.xls;_report/raw/2026/2026-07-09/kind/status-source-probe/managed_issue.xls,release_resume_collection_target
298060,KOSDAQ,managed_issue,missing_release_resume_evidence,1,0,2025-03-24,2025-03-24,,,72,2025-01-02,2025-04-18,kind,_report/raw/2026/2026-07-03/kind/status-source-probe/managed_issue.xls;_report/raw/2026/2026-07-08/kind/status-source-probe/managed_issue.xls;_report/raw/2026/2026-07-09/kind/status-source-probe/managed_issue.xls,release_resume_collection_target
309710,UNKNOWN,managed_issue,missing_release_resume_evidence,1,0,2026-04-07,2026-04-07,,,0,,,kind,_report/raw/2026/2026-07-03/kind/status-source-probe/managed_issue.xls;_report/raw/2026/2026-07-08/kind/status-source-probe/managed_issue.xls;_report/raw/2026/2026-07-09/kind/status-source-probe/managed_issue.xls,market_data_absent_for_code;release_resume_collection_target
309710,UNKNOWN,trading_halt,missing_release_resume_evidence,3,0,2026-07-03,2026-07-09,,,0,,,kind,_report/raw/2026/2026-07-03/kind/status-source-probe/trading_halt.xls;_report/raw/2026/2026-07-08/kind/status-source-probe/trading_halt.xls;_report/raw/2026/2026-07-09/kind/status-source-probe/trading_halt.xls,market_data_absent_for_code;release_resume_collection_target
313760,KOSDAQ,managed_issue,missing_release_resume_evidence,1,0,2026-04-01,2026-04-01,,,72,2025-01-02,2025-04-18,kind,_report/raw/2026/2026-07-03/kind/status-source-probe/managed_issue.xls;_report/raw/2026/2026-07-08/kind/status-source-probe/managed_issue.xls;_report/raw/2026/2026-07-09/kind/status-source-probe/managed_issue.xls,release_resume_collection_target
313760,KOSDAQ,trading_halt,missing_release_resume_evidence,3,0,2026-07-03,2026-07-09,,,72,2025-01-02,2025-04-18,kind,_report/raw/2026/2026-07-03/kind/status-source-probe/trading_halt.xls;_report/raw/2026/2026-07-08/kind/status-source-probe/trading_halt.xls;_report/raw/2026/2026-07-09/kind/status-source-probe/trading_halt.xls,release_resume_collection_target
317400,KOSPI,market_alert,missing_release_resume_evidence,1,0,2026-07-03,2026-07-03,,,72,2025-01-02,2025-04-18,kind,_report/raw/2026/2026-07-03/kind/status-source-probe/market_alert_caution.xls,release_resume_collection_target
320000,KOSDAQ,market_alert,missing_release_resume_evidence,2,0,2026-06-24,2026-07-08,,,72,2025-01-02,2025-04-18,kind,_report/raw/2026/2026-07-03/kind/status-source-probe/market_alert_warning.xls;_report/raw/2026/2026-07-08/kind/status-source-probe/market_alert_caution.xls,release_resume_collection_target
327610,UNKNOWN,trading_halt,missing_release_resume_evidence,3,0,2026-07-03,2026-07-09,,,0,,,kind,_report/raw/2026/2026-07-03/kind/status-source-probe/trading_halt.xls;_report/raw/2026/2026-07-08/kind/status-source-probe/trading_halt.xls;_report/raw/2026/2026-07-09/kind/status-source-probe/trading_halt.xls,market_data_absent_for_code;release_resume_collection_target
331920,KOSDAQ,market_alert,missing_release_resume_evidence,1,0,2026-07-08,2026-07-08,,,72,2025-01-02,2025-04-18,kind,_report/raw/2026/2026-07-08/kind/status-source-probe/market_alert_caution.xls,release_resume_collection_target
340360,KOSDAQ,market_alert,missing_release_resume_evidence,2,0,2026-07-03,2026-07-09,,,72,2025-01-02,2025-04-18,kind,_report/raw/2026/2026-07-03/kind/status-source-probe/market_alert_caution.xls;_report/raw/2026/2026-07-09/kind/status-source-probe/market_alert_caution.xls,release_resume_collection_target
340930,KOSDAQ,managed_issue,missing_release_resume_evidence,1,0,2026-04-13,2026-04-13,,,72,2025-01-02,2025-04-18,kind,_report/raw/2026/2026-07-03/kind/status-source-probe/managed_issue.xls;_report/raw/2026/2026-07-08/kind/status-source-probe/managed_issue.xls;_report/raw/2026/2026-07-09/kind/status-source-probe/managed_issue.xls,release_resume_collection_target
340930,KOSDAQ,trading_halt,missing_release_resume_evidence,3,0,2026-07-03,2026-07-09,,,72,2025-01-02,2025-04-18,kind,_report/raw/2026/2026-07-03/kind/status-source-probe/trading_halt.xls;_report/raw/2026/2026-07-08/kind/status-source-probe/trading_halt.xls;_report/raw/2026/2026-07-09/kind/status-source-probe/trading_halt.xls,release_resume_collection_target
346010,UNKNOWN,trading_halt,missing_release_resume_evidence,3,0,2026-07-03,2026-07-09,,,0,,,kind,_report/raw/2026/2026-07-03/kind/status-source-probe/trading_halt.xls;_report/raw/2026/2026-07-08/kind/status-source-probe/trading_halt.xls;_report/raw/2026/2026-07-09/kind/status-source-probe/trading_halt.xls,market_data_absent_for_code;release_resume_collection_target
348080,KOSDAQ,trading_halt,missing_release_resume_evidence,3,0,2026-07-03,2026-07-09,,,72,2025-01-02,2025-04-18,kind,_report/raw/2026/2026-07-03/kind/status-source-probe/trading_halt.xls;_report/raw/2026/2026-07-08/kind/status-source-probe/trading_halt.xls;_report/raw/2026/2026-07-09/kind/status-source-probe/trading_halt.xls,release_resume_collection_target
