code,status_type,status_value,event_date,source,confidence,source_url,current_market,raw_path_count,raw_capture_dates,raw_paths,collection_target,notes
267080,trading_halt,halted,2026-07-08,kind,medium,https://kind.krx.co.kr/investwarn/tradinghaltissue.do?method=searchTradingHaltIssueMain,UNKNOWN,1,2026-07-08,_report/raw/2026/2026-07-08/kind/status-source-probe/trading_halt.xls,resolve_market_label,snapshot=trading_halt; 종목명=세븐브로이맥주; 사유=코넥스 주권 상장폐지 사유발생 | raw_capture_dates=2026-07-08
279060,trading_halt,halted,2026-07-03,kind,medium,https://kind.krx.co.kr/investwarn/tradinghaltissue.do?method=searchTradingHaltIssueMain,UNKNOWN,1,2026-07-03,_report/raw/2026/2026-07-03/kind/status-source-probe/trading_halt.xls,resolve_market_label,snapshot=trading_halt; 종목명=이노벡스; 사유=코넥스 주권 상장폐지 사유발생 | raw_capture_dates=2026-07-03
279060,trading_halt,halted,2026-07-08,kind,medium,https://kind.krx.co.kr/investwarn/tradinghaltissue.do?method=searchTradingHaltIssueMain,UNKNOWN,1,2026-07-08,_report/raw/2026/2026-07-08/kind/status-source-probe/trading_halt.xls,resolve_market_label,snapshot=trading_halt; 종목명=이노벡스; 사유=코넥스 주권 상장폐지 사유발생 | raw_capture_dates=2026-07-08
288490,delisting,delisted,2026-02-09,kind,high,https://kind.krx.co.kr/investwarn/delcompany.do?method=searchDelCompanyMain,UNKNOWN,2,2026-07-03;2026-07-08,_report/raw/2026/2026-07-03/kind/status-source-probe/delisted_company.xls;_report/raw/2026/2026-07-08/kind/status-source-probe/delisted_company.xls,resolve_market_label,"snapshot=delisted_company; 회사명=나라소프트; 폐지사유=지정자문인 선임계약 해지 후 30일 이내 미체결 | merged_observations=2 | raw_capture_dates=2026-07-03,2026-07-08"
308700,delisting,delisted,2026-01-14,kind,high,https://kind.krx.co.kr/investwarn/delcompany.do?method=searchDelCompanyMain,UNKNOWN,2,2026-07-03;2026-07-08,_report/raw/2026/2026-07-03/kind/status-source-probe/delisted_company.xls;_report/raw/2026/2026-07-08/kind/status-source-probe/delisted_company.xls,resolve_market_label,"snapshot=delisted_company; 회사명=테크엔; 폐지사유=지정자문인 선임계약 해지 후 30일 이내 미체결(2025.5.15限) | merged_observations=2 | raw_capture_dates=2026-07-03,2026-07-08"
309710,managed_issue,designated,2026-04-07,kind,high,https://kind.krx.co.kr/investwarn/adminissue.do?method=searchAdminIssueList,UNKNOWN,2,2026-07-03;2026-07-08,_report/raw/2026/2026-07-03/kind/status-source-probe/managed_issue.xls;_report/raw/2026/2026-07-08/kind/status-source-probe/managed_issue.xls,resolve_market_label,"snapshot=managed_issue; 종목명=아이티켐; 지정사유=상장폐지사유 발생 | merged_observations=2 | raw_capture_dates=2026-07-03,2026-07-08"
309710,trading_halt,halted,2026-07-03,kind,medium,https://kind.krx.co.kr/investwarn/tradinghaltissue.do?method=searchTradingHaltIssueMain,UNKNOWN,1,2026-07-03,_report/raw/2026/2026-07-03/kind/status-source-probe/trading_halt.xls,resolve_market_label,snapshot=trading_halt; 종목명=아이티켐; 사유=상장폐지 사유발생 | raw_capture_dates=2026-07-03
309710,trading_halt,halted,2026-07-08,kind,medium,https://kind.krx.co.kr/investwarn/tradinghaltissue.do?method=searchTradingHaltIssueMain,UNKNOWN,1,2026-07-08,_report/raw/2026/2026-07-08/kind/status-source-probe/trading_halt.xls,resolve_market_label,snapshot=trading_halt; 종목명=아이티켐; 사유=상장폐지 사유발생 | raw_capture_dates=2026-07-08
327610,trading_halt,halted,2026-07-03,kind,medium,https://kind.krx.co.kr/investwarn/tradinghaltissue.do?method=searchTradingHaltIssueMain,UNKNOWN,1,2026-07-03,_report/raw/2026/2026-07-03/kind/status-source-probe/trading_halt.xls,resolve_market_label,snapshot=trading_halt; 종목명=펨토바이오메드; 사유=지정자문인 계약해지 | raw_capture_dates=2026-07-03
327610,trading_halt,halted,2026-07-08,kind,medium,https://kind.krx.co.kr/investwarn/tradinghaltissue.do?method=searchTradingHaltIssueMain,UNKNOWN,1,2026-07-08,_report/raw/2026/2026-07-08/kind/status-source-probe/trading_halt.xls,resolve_market_label,snapshot=trading_halt; 종목명=펨토바이오메드; 사유=지정자문인 계약해지 | raw_capture_dates=2026-07-08
