date,code,stock_name,market,signal_state,horizon_trading_days,evaluation_status,forward_date,signal_close,forward_close,raw_forward_return_pct,directional_forward_score_pct,source_strategy,signal_mode,evaluation_mode
2025-02-05,160190,하이젠알앤엠,KOSDAQ,BUY candidate,1,complete,2025-02-06,42000.0000,42050.0000,0.1190,0.1190,001-strategy-universe-momentum,paper_signal_candidate_only,paper_forward_return_smoke_only
2025-02-05,160190,하이젠알앤엠,KOSDAQ,BUY candidate,5,missing_forward_price,,42000.0000,,,,001-strategy-universe-momentum,paper_signal_candidate_only,paper_forward_return_smoke_only
2025-02-05,351320,에스에이티이엔지,KOSDAQ,BUY candidate,1,complete,2025-02-06,3015.0000,2790.0000,-7.4627,-7.4627,001-strategy-universe-momentum,paper_signal_candidate_only,paper_forward_return_smoke_only
2025-02-05,351320,에스에이티이엔지,KOSDAQ,BUY candidate,5,missing_forward_price,,3015.0000,,,,001-strategy-universe-momentum,paper_signal_candidate_only,paper_forward_return_smoke_only
2025-02-05,010100,한국무브넥스,KOSPI,BUY candidate,1,complete,2025-02-06,7040.0000,7300.0000,3.6932,3.6932,001-strategy-universe-momentum,paper_signal_candidate_only,paper_forward_return_smoke_only
2025-02-05,010100,한국무브넥스,KOSPI,BUY candidate,5,missing_forward_price,,7040.0000,,,,001-strategy-universe-momentum,paper_signal_candidate_only,paper_forward_return_smoke_only
2025-02-05,098460,고영,KOSDAQ,BUY candidate,1,complete,2025-02-06,17710.0000,17560.0000,-0.8470,-0.8470,001-strategy-universe-momentum,paper_signal_candidate_only,paper_forward_return_smoke_only
2025-02-05,098460,고영,KOSDAQ,BUY candidate,5,missing_forward_price,,17710.0000,,,,001-strategy-universe-momentum,paper_signal_candidate_only,paper_forward_return_smoke_only
2025-02-05,168360,펨트론,KOSDAQ,BUY candidate,1,complete,2025-02-06,9760.0000,10000.0000,2.4590,2.4590,001-strategy-universe-momentum,paper_signal_candidate_only,paper_forward_return_smoke_only
2025-02-05,168360,펨트론,KOSDAQ,BUY candidate,5,missing_forward_price,,9760.0000,,,,001-strategy-universe-momentum,paper_signal_candidate_only,paper_forward_return_smoke_only
2025-02-05,277810,레인보우로보틱스,KOSDAQ,BUY candidate,1,complete,2025-02-06,371000.0000,374500.0000,0.9434,0.9434,001-strategy-universe-momentum,paper_signal_candidate_only,paper_forward_return_smoke_only
2025-02-05,277810,레인보우로보틱스,KOSDAQ,BUY candidate,5,missing_forward_price,,371000.0000,,,,001-strategy-universe-momentum,paper_signal_candidate_only,paper_forward_return_smoke_only
2025-02-05,301300,바이브컴퍼니,KOSDAQ,BUY candidate,1,complete,2025-02-06,6770.0000,6810.0000,0.5908,0.5908,001-strategy-universe-momentum,paper_signal_candidate_only,paper_forward_return_smoke_only
2025-02-05,301300,바이브컴퍼니,KOSDAQ,BUY candidate,5,missing_forward_price,,6770.0000,,,,001-strategy-universe-momentum,paper_signal_candidate_only,paper_forward_return_smoke_only
2025-02-05,123010,아이윈플러스,KOSDAQ,BUY candidate,1,complete,2025-02-06,1930.0000,1799.0000,-6.7876,-6.7876,001-strategy-universe-momentum,paper_signal_candidate_only,paper_forward_return_smoke_only
2025-02-05,123010,아이윈플러스,KOSDAQ,BUY candidate,5,missing_forward_price,,1930.0000,,,,001-strategy-universe-momentum,paper_signal_candidate_only,paper_forward_return_smoke_only
2025-02-05,332570,와이팜,KOSDAQ,BUY candidate,1,complete,2025-02-06,4910.0000,5250.0000,6.9246,6.9246,001-strategy-universe-momentum,paper_signal_candidate_only,paper_forward_return_smoke_only
2025-02-05,332570,와이팜,KOSDAQ,BUY candidate,5,missing_forward_price,,4910.0000,,,,001-strategy-universe-momentum,paper_signal_candidate_only,paper_forward_return_smoke_only
2025-02-05,430690,한싹,KOSDAQ,BUY candidate,1,complete,2025-02-06,6390.0000,6200.0000,-2.9734,-2.9734,001-strategy-universe-momentum,paper_signal_candidate_only,paper_forward_return_smoke_only
2025-02-05,430690,한싹,KOSDAQ,BUY candidate,5,missing_forward_price,,6390.0000,,,,001-strategy-universe-momentum,paper_signal_candidate_only,paper_forward_return_smoke_only
